,CV_R2_mean,CV_R2_std,MAE,RMSE,R2,time_sec,memory_kb
Ridge Regression,0.5647016973527457,0.05147732979847193,1593639.7967579926,2642559.0305067184,0.5761423558936345,4.5557496547698975,490.64453125
Decision Tree,0.5648274140413891,0.11125512131571978,649413.505729347,1144490.3703567,0.9204949141880754,2.7048609256744385,380.474609375
Random Forest,0.7077657652600113,0.04473891435539013,466707.3333333333,864837.6882783651,0.9546016739830451,1.4433512687683105,380.232421875
Gradient Boosting,0.7231088005501267,0.04752234399558244,896184.7252447689,1397999.7739701439,0.8813726504474723,0.640657901763916,375.5400390625
K-Nearest Neighbors,0.6888368857986843,0.03847971625539617,1070597.6190476192,1953634.98982522,0.7683365739966275,0.13906645774841309,374.6513671875
